产地,产品,类别,单位,低价,高价,均价,发行时间
nan,鲫鱼,水产,斤,11.0,11.0,11.0,2023-07-02 00:00:00
nan,鲫鱼,水产,斤,12.0,12.0,12.0,2023-07-02 00:00:00
nan,胖头鱼,水产,斤,12.0,12.0,12.0,2023-07-02 00:00:00
nan,胖头鱼,水产,斤,11.0,12.0,11.5,2023-07-02 00:00:00
nan,武昌鱼,水产,斤,11.0,12.0,11.5,2023-07-02 00:00:00
nan,鲢鱼,水产,斤,4.0,5.0,4.5,2023-07-02 00:00:00
nan,鲢鱼,水产,斤,4.0,4.0,4.0,2023-07-02 00:00:00
nan,鲶鱼,水产,斤,6.0,6.5,6.25,2023-07-02 00:00:00
nan,松花鱼,水产,斤,10.0,11.0,10.5,2023-07-02 00:00:00
nan,黑鱼,水产,斤,10.5,11.0,10.75,2023-07-02 00:00:00
nan,黑鱼,水产,斤,11.5,12.5,12.0,2023-07-02 00:00:00
nan,黄鳝,水产,斤,28.0,30.0,29.0,2023-07-02 00:00:00
nan,羊小腿,肉禽蛋,斤,19.0,20.0,19.5,2023-07-02 00:00:00
nan,羊腱子肉,肉禽蛋,斤,34.0,34.0,34.0,2023-07-02 00:00:00
nan,羊蹄,肉禽蛋,斤,15.0,15.0,15.0,2023-07-02 00:00:00
nan,羊头,肉禽蛋,斤,13.0,13.0,13.0,2023-07-02 00:00:00
nan,羊肝,肉禽蛋,斤,7.0,7.0,7.0,2023-07-02 00:00:00
